index,db_id,prompt_tokens,new_tokens,calls,total_iterations,avg_iter_per_call,avg_iter_per_token,time_sec,toks_per_sec,stop_reason,success,reward
43,chicago_crime,559,31,2,18,9.0,0.5806451612903226,0.5333855152130127,62.937272054843554,eos,False,0.0
44,human_resources,244,39,2,25,12.5,0.6410256410256411,0.7394082546234131,55.57835867932971,eos,True,1.0
45,computer_student,266,57,2,24,12.0,0.42105263157894735,0.6473760604858398,93.58904408179804,eos,True,1.0
46,sales,297,85,3,53,17.666666666666668,0.6235294117647059,1.3666319847106934,64.38776680516739,eos,True,1.0
47,movies_4,818,66,3,25,8.333333333333334,0.3787878787878788,0.7464220523834229,94.0154073524581,eos,False,0.0
48,donor,662,27,2,13,6.5,0.48148148148148145,0.37660813331604004,79.51247824606813,eos,True,1.0
49,retail_complains,578,19,2,9,4.5,0.47368421052631576,0.274045467376709,78.66163733201292,eos,True,1.0
50,works_cycles,6652,15,2,5,2.5,0.3333333333333333,0.28423142433166504,106.80352626400978,eos,True,1.0
51,retail_world,460,79,3,39,13.0,0.4936708860759494,1.0480167865753174,78.17440750150392,eos,False,0.0
52,simpson_episodes,459,49,2,19,9.5,0.3877551020408163,0.5370712280273438,97.93962100667028,eos,False,0.0
53,movie_3,1310,18,2,6,3.0,0.3333333333333333,0.21688628196716309,105.35324789253418,eos,False,0.0
54,olympics,528,72,3,43,14.333333333333334,0.5972222222222222,1.1492209434509277,64.94887483043225,eos,True,1.0
55,sales,290,54,2,30,15.0,0.5555555555555556,0.8507366180419922,66.4980275117896,eos,True,1.0
56,superstore,684,45,2,21,10.5,0.4666666666666667,0.6193344593048096,77.35029781363089,eos,False,0.0
57,books,670,73,3,37,12.333333333333334,0.5068493150684932,1.002121925354004,77.04607208902283,eos,False,0.0
58,image_and_language,497,36,2,14,7.0,0.3888888888888889,0.426577091217041,92.07262783963843,eos,True,1.0
59,genes,295,63,2,41,20.5,0.6507936507936508,1.1465585231781006,56.761697787510926,eos,True,1.0
60,shipping,343,41,2,18,9.0,0.43902439024390244,0.5172774791717529,85.05347981111939,eos,True,1.0
61,software_company,463,30,2,21,10.5,0.7,0.6554930210113525,48.60866014442997,eos,True,1.0
62,computer_student,274,54,2,27,13.5,0.5,0.8002054691314697,70.40096247496543,eos,True,1.0
63,student_loan,493,31,2,21,10.5,0.6774193548387096,0.6222445964813232,52.6346139795001,eos,True,1.0
64,image_and_language,497,22,2,6,3.0,0.2727272727272727,0.2205672264099121,114.49910312735494,eos,True,1.0
65,music_tracker,200,45,2,19,9.5,0.4222222222222222,0.5402889251708984,91.02481415988241,eos,True,1.0
66,cookbook,378,43,2,16,8.0,0.37209302325581395,0.468599796295166,100.50647996117308,eos,True,1.0
67,cars,230,40,2,17,8.5,0.425,0.5051634311676025,85.90626148143208,eos,True,1.0
68,european_football_1,177,58,2,31,15.5,0.5344827586206896,0.8343517780303955,75.46950837170718,eos,True,1.0
69,ice_hockey_draft,389,64,3,35,11.666666666666666,0.546875,0.9349677562713623,71.51157538247107,eos,True,1.0
70,soccer_2016,1271,34,2,21,10.5,0.6176470588235294,0.6147153377532959,59.955085815735366,eos,True,1.0
71,social_media,241,92,3,54,18.0,0.5869565217391305,1.3335607051849365,71.03464182197087,eos,True,1.0
72,music_tracker,202,50,2,33,16.5,0.66,0.8367633819580078,62.89124802923484,eos,False,0.0
73,world_development_indicators,720,18,2,9,4.5,0.5,0.32140398025512695,63.433078336160285,eos,False,0.0
74,airline,406,92,3,45,15.0,0.4891304347826087,1.1759254932403564,81.32631522777896,eos,True,1.0
75,sales_in_weather,298,40,2,18,9.0,0.45,0.4920542240142822,87.96148592474871,eos,True,1.0
76,car_retails,692,34,2,19,9.5,0.5588235294117647,0.5105462074279785,71.8365840658363,eos,True,1.0
77,app_store,183,24,2,9,4.5,0.375,0.2867014408111572,100.75656972170337,eos,True,1.0
78,donor,705,118,3,75,25.0,0.635593220338983,1.887143611907959,63.89143729584054,eos,False,0.0
79,retails,906,31,2,15,7.5,0.4838709677419355,0.4056427478790283,86.17054006468689,eos,True,1.0
80,retails,910,20,2,11,5.5,0.55,0.29259252548217773,78.08473847704569,eos,True,1.0
81,works_cycles,6652,54,2,32,16.0,0.5925925925925926,0.8878653049468994,71.91055534613317,eos,False,0.0
82,chicago_crime,561,67,3,42,14.0,0.6268656716417911,0.9267873764038086,74.86915327666996,eos,True,1.0
83,works_cycles,6685,53,2,32,16.0,0.6037735849056604,0.8366286754608154,76.19006545999805,eos,False,0.0
84,restaurant,243,52,2,30,15.0,0.5769230769230769,0.7395517826080322,73.32325314951964,eos,True,1.0
85,food_inspection_2,413,44,2,27,13.5,0.6136363636363636,0.653191089630127,70.32971137157955,eos,True,1.0
86,books,662,27,2,14,7.0,0.5185185185185185,0.3409428596496582,86.38239293396494,eos,True,1.0
87,car_retails,694,32,2,15,7.5,0.46875,0.36162376403808594,98.33637443569975,eos,False,0.0
88,simpson_episodes,453,42,2,24,12.0,0.5714285714285714,0.5484752655029297,80.89664875766452,eos,True,1.0
89,retail_world,458,71,3,39,13.0,0.5492957746478874,0.913151741027832,80.85345406938674,eos,False,0.0
90,menu,385,27,2,13,6.5,0.48148148148148145,0.30385279655456543,96.24546510815816,eos,True,1.0
91,works_cycles,6674,64,3,41,13.666666666666666,0.640625,1.0315513610839844,72.65988316148955,eos,True,1.0
92,mondial_geo,3029,79,3,41,13.666666666666666,0.5189873417721519,0.9095749855041504,94.4457651720478,eos,True,1.0
93,student_loan,491,20,2,8,4.0,0.4,0.20612072944641113,112.17227958871777,eos,True,1.0
94,mondial_geo,3025,38,2,22,11.0,0.5789473684210527,0.5292561054229736,81.4670647254995,eos,True,1.0
95,movie,315,78,3,41,13.666666666666666,0.5256410256410257,0.9341380596160889,86.65720841375534,eos,True,1.0
96,bike_share_1,430,35,2,18,9.0,0.5142857142857142,0.4463069438934326,84.348367135544,eos,True,1.0
97,law_episode,423,16,2,8,4.0,0.5,0.20976662635803223,89.06060514639421,eos,True,1.0
98,simpson_episodes,464,64,3,36,12.0,0.5625,0.8549745082855225,78.15039449785372,eos,True,1.0
99,software_company,457,20,2,10,5.0,0.5,0.2689671516418457,83.2420206749316,eos,True,1.0
